"","riagendr","ridageyr","ridreth1","ridreth3","ridexmon","bpq020","bpq030","bpd035","bpq040a","bpq050a","bpq080","bpq060","bpq070","bpq090d","alq101","alq110","alq120q","alq120u","alq130","alq141q","alq141u","alq151","alq160","inq020","inq012","inq030","inq060","inq080","inq090","inq132","inq140","inq150","wtdrd1","wtdr2d","dr1drstz","dr1exmer","drabf","drdint","dr1dbih","dr1day","dr1lang"
"bpq080",0.0189476475443422,-0.201868320426307,-0.0145095497031661,-0.0117384194659716,0.00901219994680015,0.203230680455848,0.0247866906863153,0.0371264016461929,0.106824604944138,0.128413882968688,1,0.104127493115072,0.1710118019576,0.374217414101704,0.0101509010053447,0.0167853861595841,0.00421609938138543,0.00588560822251401,0.000120503256005757,0.0469724407222803,-0.0752435835182309,-0.00130117854608775,-0.00566529687217252,-0.0258503973202798,-0.0144534742480868,0.063088687739868,-0.00265190644981991,0.0297264578780608,-0.0108616725132065,-0.00207454124804182,0.0342530319700903,-0.0319482408573391,-0.0168823555548064,-0.01161221893314,0.0285617120911427,-0.0189982429983002,NA,-0.0193288901751967,-0.0244532852245496,0.0108055821912241,-0.0147520047233176
"bpq060",-0.0172623191531216,-0.128054960881769,-0.00485290023649859,-0.00139049178874498,0.0440962846871866,0.103589218759271,0.273505429875508,0.244369177678995,0.170679909007331,0.0970763079293786,0.104127493115072,1,0.0867082853151303,-0.0287745262973956,-0.00228626404906478,0.0654595449507055,0.0159772450615136,-0.0112905813617935,0.00456316861621223,0.0107773677717878,-0.0485317049981443,-0.0321789214672795,-0.0141520719542554,0.0208742378642567,-0.0109291355201052,0.0732851230562194,0.060124803776689,0.0284758643320407,0.0238505637767501,0.0174802242386504,0.0646630182355968,-0.00860122285325021,-0.00745003021301645,-0.00996735255448002,-0.017219745882467,-0.0535840741085339,NA,-0.00482976224229696,-0.000923869146357788,-0.00289151675197485,-0.0127920695510147
"bpq070",-0.0363383934133608,-0.196221380462813,-0.0432114280476243,-0.0296222737193973,-0.0224636098170398,0.155053062443811,0.105502942780938,0.0362253213937629,0.223415448834011,0.262757882619178,0.1710118019576,0.0867082853151303,1,0.128516672094481,-0.0307245431472202,0.0241673116667091,-0.0194580011330579,-0.0353557959234246,4.78294153102043e-05,0.0122396526806254,0.0179599764452767,-0.00300121712860015,-0.0118597973640294,-0.0129246598582093,-0.0223978479544957,0.0894403563615151,0.034473506696028,0.0248125674721713,0.00110850221036509,-0.00711638912079741,0.0493860756141354,-0.0210255836544835,-0.0150842122547649,-0.0144437932193435,0.0243605750888633,0.0320823020772923,NA,-0.0323209202483451,0.0103152759533726,0.0130417009709011,0.0235591392121045
"bpq090d",0.0396986824434859,-0.316195198115168,0.0392885999155657,0.0396662512344287,0.0219772175606594,0.268013214698352,0.00270598641352106,-0.0835983339058494,0.132138908365398,0.185753305778131,0.374217414101704,-0.0287745262973956,0.128516672094481,1,0.00295934931588051,-0.00953747520612099,-0.00606395066107567,-0.0288591089992084,-0.00178408070216253,0.0280913697285624,0.0202913896053882,0.0481889709959362,0.0303760395696993,-0.0866376642810845,-0.0365675753495553,0.156611779816699,0.067339713803881,0.137206214016945,0.0189298964103508,0.0197730150703672,0.0304152420981345,-0.0174407861853243,0.00744988636785417,0.0128218841333604,0.0354255975728548,-0.00428105356059301,NA,-0.00907252815107472,-0.0216991951702571,0.0230314885467975,-0.0351682337571118
"alq101",0.245881293834026,0.0385620524937498,0.0238055964941668,0.0361442748876217,-0.0150921985527594,-0.0172663095020678,0.0116051963330168,0.0303005888939588,-0.0102127090556597,-0.037259889205874,0.0101509010053447,-0.00228626404906478,-0.0307245431472202,0.00295934931588051,1,-0.109856753975722,0.0352325075074932,0.533014001747232,0.0275834772737512,-0.0118490993177511,0.201759574219792,0.129883362728684,-0.0251993700762766,0.0380822159007088,0.0484034548547345,-0.00454340571745846,-0.00432737845310195,0.00496570291789238,0.0174022550761846,0.0224918035945415,0.0523167255082966,0.0563804609602189,-0.12311242304096,-0.100243906580777,0.0229861033627617,-0.0275210284716482,NA,-0.0316913365974364,-0.0240462664039941,0.0125467143287667,0.101806683621311
"alq110",-0.0616666771663995,-0.0168309092000553,-0.000651725584855252,0.00626949821583501,0.0344283493647616,0.00932459303867149,-0.00485282684485712,0.084592848483698,0.0186726282179848,0.0144258221571479,0.0167853861595841,0.0654595449507055,0.0241673116667091,-0.00953747520612099,-0.109856753975722,1,-0.00853379407754735,-0.171820289716417,-0.00577404431027156,0.121780729745366,-0.120821693764007,-0.137734492251982,-0.00298534171042452,-0.00303403089073251,0.041562887647175,0.0231925123375749,0.0236232974412578,0.00921653314129797,0.0132028125989835,0.0540530802375529,0.0112625832359221,0.00305482743770595,-0.0386989849445401,0.00928349848522409,0.0406794189654482,-0.0276363234038674,NA,-0.0211970713249639,0.00735680885782173,0.0114949877678858,0.0949305541450746
"alq120q",-0.010337597411676,0.0174872855677005,0.0294217817289699,0.0246872254933638,0.0259749563751208,0.000403405941454228,0.0573185510031311,0.101436043689503,0.0183222482699775,-0.00398087212740754,0.00421609938138543,0.0159772450615136,-0.0194580011330579,-0.00606395066107567,0.0352325075074932,-0.00853379407754735,1,0.0284521474099871,0.468190620510716,0.191787924510334,-0.0281266037391522,-0.00329824993189323,0.0746826252349823,0.0117232613884904,0.00401381196696372,-0.00372220122825566,0.00559440025899978,-0.0114537568966887,-0.0213710526745357,-0.0184308217657903,0.00235506072200689,-0.00173261047929467,-0.00930769878440043,-0.000230604134714802,0.0118262808975214,0.0092288636190379,NA,0.0168268353288394,-0.00369029950346062,-0.00836759918909074,-0.00104140869567802
"alq120u",0.25478139717718,0.0130580684652974,-0.0263389821632694,0.00106530402652354,-0.0400159954309969,0.00144438710248344,-0.0185086065577448,-0.0261822459432456,0.024957519933673,-0.0305515921451275,0.00588560822251401,-0.0112905813617935,-0.0353557959234246,-0.0288591089992084,0.533014001747232,-0.171820289716417,0.0284521474099871,1,-0.0252583255802028,-0.0248396930277884,0.530338767952582,0.150959675352107,-0.0555918814363576,0.0431380040746496,0.065541701711259,-0.00678367588716454,0.000509753519515338,0.0108670776762176,-0.0111301407114159,0.0247921356921844,0.0498654556687444,0.0236270522116196,-0.140148689034023,-0.117126336896416,-0.0163450685994393,-0.0264241566422931,NA,-0.0394348295596783,-0.0381544679308849,-0.0188259778898231,0.106963587044333
"alq130",-0.0232557908507787,-0.0139828234057619,0.010771313259263,0.00396136814149949,0.0212067639459209,0.00364816051477066,-0.00520657693355642,0.0708230177148226,0.017490252320875,0.00615035125503595,0.000120503256005757,0.00456316861621223,4.78294153102043e-05,-0.00178408070216253,0.0275834772737512,-0.00577404431027156,0.468190620510716,-0.0252583255802028,1,0.0955780950240134,-0.0655457133855413,-0.0227292773994822,0.247660788501557,0.00650204364197697,0.00839544669747887,-0.0143490442551338,0.00168212786449807,9.67147673870749e-06,-0.023335333022678,-0.024683434299263,0.010187857933576,-0.00393283885570532,-0.0127580405139714,-0.0117448573276441,-0.000430291606676606,0.00190833847534062,NA,-0.0335952976383241,0.00372312453640524,-0.0108067076029212,-0.00918493108346899
"alq141q",-0.0516250949160757,0.00185019129180098,-0.0328866445220657,-0.0260845344076362,-0.00463622694190311,0.0185440685494642,0.010854992568013,0.0535367346800426,0.0135794869624276,0.0440525740200333,0.0469724407222803,0.0107773677717878,0.0122396526806254,0.0280913697285624,-0.0118490993177511,0.121780729745366,0.191787924510334,-0.0248396930277884,0.0955780950240134,1,0.04939068448721,-0.0662695036638999,0.0412638797474558,0.0100924803224945,0.0283329863025107,0.0374317305039651,0.0233370026839396,0.0187895367436173,0.0107918997526096,0.0291336227907453,0.0273372339931987,0.0266071045153226,-0.00960526731840088,-0.0164595198245834,0.0617244303334227,-0.0494896424447062,NA,-0.0627370508448727,0.0216902283060743,-0.00837123637927508,0.0173626588877067
